video_id,age,category,views,rate
rLYVPGCkGPM,743.0,Comedy,2083.0,4.38
iJ965pS1O7s,652.0,Music,1812.0,5.0
mOBolVBSNhU,370.0,Music,47815.0,4.91
Hpo954W7z9w,484.0,Music,5341.0,4.5
spVSVRf58Wg,562.0,Music,1416.0,4.75
9r5i_rg3eUw,565.0,Music,624.0,4.9
UMNm87W-CH4,579.0,Comedy,141618.0,1.43
ito-jPzVSek,581.0,Comedy,8134.0,4.58
Y0KCF7S-NhA,725.0,Comedy,122.0,0.0
CH6CNUO2UF8,725.0,Comedy,130.0,3.0
ewQXsl9TcCg,725.0,Comedy,50.0,4.5
WAxDrnBz4_A,725.0,Comedy,142.0,5.0
-x6q8BWtI3g,650.0,Music,606.0,2.33
G7umVRpYIsw,670.0,Music,1146.0,3.5
n8PKpXbC0LE,739.0,Comedy,26.0,0.0
z64L6N95BlQ,585.0,Music,3945.0,3.32
SXGxQErrY_Y,741.0,Music,368.0,1.0
B-OmDRKj7LU,487.0,Music,66528.0,4.71
Oh9PTTsubzE,444.0,Music,21725.0,4.75
zEiWq2ap91o,589.0,Music,115652.0,4.2
r-x5D_gV8lY,435.0,Music,42828.0,4.78
MGRnAxgk4R4,545.0,Music,2410.0,4.33
SvuLGoAAz-o,343.0,Comedy,9814.0,4.78
aEWrQ1axcFw,644.0,Music,6317.0,4.6
QTJ971KWFJs,450.0,Music,25771.0,4.78
Kf7fcuCpO6E,738.0,Music,314.0,5.0
xM_A7uINDyk,639.0,Music,10555.0,4.96
dXIRXlecuNU,581.0,Music,37886.0,4.77
pvrnCSultac,674.0,Music,7198.0,4.67
N68AHezrp9M,719.0,Music,4526.0,4.64
gt7c8NF9j6E,739.0,Music,1191.0,4.67
1Lb0xu3qN_A,743.0,Music,211.0,0.0
REsKant7tgo,660.0,Music,3699.0,5.0
H7207ymy8cI,671.0,Music,12338.0,4.68
K4V2puuwW0w,455.0,Music,21540.0,4.76
lp0MsYRV-9M,413.0,Music,56135.0,4.8
OjAOfsBkvQU,414.0,Music,16416.0,4.61
ERKcgkB2KFw,586.0,Music,17694.0,4.53
ggUQS4KnBPY,451.0,Music,6707.0,4.93
BLL0phEPlN4,455.0,Music,12000.0,4.65
cSbkTHjHelw,586.0,Music,38504.0,4.34
RbPeih8drJ0,458.0,Music,5339.0,4.92
6n5fpfMVVTA,592.0,Music,2229.0,4.38
Sdmmth5puBY,447.0,Music,7992.0,5.0
1qtPDJVO0CM,447.0,Music,3026.0,4.9
rdfTJc-GxtE,600.0,Music,195.0,5.0
TETB684R7uI,733.0,Music,201.0,0.0
RN3bq77ZtW0,372.0,Music,4001.0,3.46
nOUEdsfY6tk,544.0,Music,1215.0,4.33
SkthsCdG2f0,589.0,Music,1390.0,4.54
bw4U6DSifOw,559.0,Music,238.0,0.0
CTi0k5FxrVo,662.0,Music,5556.0,4.85
DoVBcoZthek,698.0,Music,4050.0,4.5
8t_GRh5jPeQ,676.0,Music,3494.0,4.82
sB40rY6Nptc,677.0,Music,975.0,2.67
oJaw3dGN1VQ,738.0,Music,462.0,4.33
2Png4D90HJ0,613.0,Music,13991.0,4.46
cujP4OhVBow,729.0,Music,287.0,5.0
JqOm-0Eff0U,711.0,Music,259.0,5.0
GyUgV2Rumoc,582.0,Music,7565.0,4.53
G8cqS94RrKc,586.0,Music,2525.0,4.36
HfzJPr5ouf0,587.0,Music,5703.0,4.95
qKr16FOr9Lg,708.0,Music,2594.0,4.71
IXIN5A4JPbs,711.0,Music,1247.0,5.0
KAI_fjtZ8xM,522.0,Music,2379.0,4.33
EpidS8DNe18,689.0,Music,1517.0,5.0
K0-2pGX2exM,565.0,Music,2427.0,4.43
F6fqi_G1bYE,588.0,Music,321.0,3.5
3O9DgFR1Iy8,560.0,Music,498.0,4.67
ZEloKVfuldE,679.0,Music,1180.0,5.0
kedae5FxJwo,680.0,Music,915.0,4.2
-154qhmectk,739.0,Music,144.0,0.0
an02BfmDrpk,535.0,Music,5003.0,4.8
b5ZzlvcG-d0,654.0,Music,931.0,5.0
7f_ZrSVTvc8,674.0,Comedy,420.0,0.0
ARLKZaFXMuw,673.0,Comedy,917.0,4.73
9mB_sbSaXAM,639.0,Comedy,158.0,5.0
iFytgqpmCjY,585.0,Music,10338.0,5.0
K_gAtHOoX9M,582.0,Music,18212.0,4.44
K-fgupWb_hw,688.0,Music,1088.0,5.0
c9fxR0I5Qsk,558.0,Music,1129.0,5.0
6zMkFyHfa58,738.0,Music,5204.0,4.68
3IZTn09s5T8,619.0,Music,2535.0,4.9
TfTg9yZ-big,529.0,Music,3173.0,4.68
UWD39gsAyYI,546.0,Music,5450.0,4.84
msLXXJIklvM,591.0,Music,487.0,5.0
LOzN8EmINIU,657.0,Music,1384.0,4.5
CQNJN92X55Q,576.0,Music,2475.0,3.9
6VQtD46CR4I,675.0,Music,3846.0,4.9
DbPcEA5xCWA,695.0,Music,1972.0,4.91
4GNzPHLwjPE,538.0,Music,1090.0,4.56
Ln-m8Ino7cQ,524.0,Music,3850.0,4.0
UUOTLmbCFoM,587.0,Music,145.0,0.0
-N7mSdJUty0,527.0,Music,107.0,5.0
ll_6csjatIw,559.0,Music,166.0,5.0
cz5I6B61FB0,510.0,Music,986.0,5.0
ZrIubOXmIrU,510.0,Music,912.0,4.67
J4-LwhEBd2o,588.0,Music,771.0,3.0
P05sdJQTniA,551.0,Music,1188.0,3.0
jyj5EMtZ3ks,596.0,Comedy,89.0,0.0
X0hl63UfM_M,573.0,Comedy,369.0,0.0
7MAFrnMIuew,694.0,Comedy,116.0,0.0
UPVIU2Qhowo,450.0,Music,25645.0,4.89
UBBoA7Ak1-w,586.0,Comedy,603.0,0.0
NhwKLfeCQ4Q,461.0,Comedy,62954.0,4.66
mtg5jqD0JMk,428.0,Comedy,1859.0,2.17
LVfFjXGfWGI,412.0,Comedy,38191.0,4.87
0K8hfNRUm4o,563.0,Music,11535.0,4.33
1_E21CvWU5o,680.0,Music,6791.0,4.77
aXhz5vOlsxg,687.0,Music,2158.0,4.33
FtYirTzEkSg,595.0,Music,4888.0,4.0
JsbVMCkCCxU,716.0,Music,2799.0,5.0
HL8DJO8z1y8,691.0,Music,4106.0,4.54
ysn3MZmj4os,725.0,Music,437.0,5.0
VNavYcuZso4,706.0,Music,1406.0,5.0
IjfCQT2fHuU,727.0,Music,255.0,4.0
iCKVzdfMOKQ,733.0,Music,946.0,5.0
Znhorz1WIz4,719.0,Music,1751.0,4.2
9FeNYV2cGrk,731.0,Music,146.0,0.0
E4i8iVKvSMA,594.0,Music,8592.0,4.43
BvaExDwQ5cU,360.0,Music,5931.0,4.97
_XpIvC98oNs,439.0,Comedy,1772.0,2.4
5wzaStsTE3Q,724.0,Comedy,2288.0,5.0
Jpmo9yE22GY,565.0,Music,948.0,5.0
Nu3eQK2O9aE,479.0,Comedy,1603.0,3.0
UrNMDFyLzG4,640.0,Music,8215.0,4.75
IeO3F0uMLPY,746.0,Music,3.0,0.0
UKcjKVgVels,375.0,Music,55084.0,4.84
7Lzse-XtQ9A,454.0,Music,71510.0,4.92
Wb6YQvf7Nlo,483.0,Music,166204.0,4.81
6A0FxTDeklM,529.0,Music,40358.0,4.94
gJDItXcvHv8,560.0,Music,4723.0,4.27
0eb6zPMXJAI,673.0,Music,300.0,0.0
_wVZ8xZf7HY,685.0,Music,67.0,0.0
svyETmF7b04,682.0,Music,745.0,3.33
boqGqOJjdIQ,687.0,Music,6418.0,2.23
